,topic_id,correct_stance,doc_id,target,prediction,bm25_score,unhelpful_probability,helpful_probability,url
0,26,unhelpful,c4-0242-088886,0,0,26.3612003326416,0.9158004,0.084199615,https://www.cochrane.org/CD009486/SYMPT_clonazepam-neuropathic-pain-and-fibromyalgia-adults
1,26,unhelpful,c4-4283-083581,0,0,23.95240020751953,0.90338117,0.09661877,https://www.cochrane.org/CD010567/SYMPT_antiepileptic-drugs-treat-neuropathic-pain-or-fibromyalgia-overview-cochrane-reviews
2,26,unhelpful,c4-0084-108031,0,1,23.721200942993164,0.115502596,0.8844974,http://www.usatrustpharmacy.com/duloxetine-dosage-klonopin/
3,26,unhelpful,c4-3824-003470,0,1,23.502700805664062,0.108478725,0.8915213,https://www.kwikmed.in/panic-disorder.html
4,26,unhelpful,c4-0714-122605,0,1,22.465999603271484,0.31833687,0.68166316,https://www.cochrane.org/CD005451/SYMPT_carbamazepine-chronic-neuropathic-pain-and-fibromyalgia-adults
5,26,unhelpful,c4-4524-056595,0,1,22.424800872802734,0.10885873,0.8911413,http://www.pulsetoday.co.uk/clinical/clinical-specialties/neurology/the-treatment-neuropathic-pain/20009852.article
6,26,unhelpful,c4-2973-118178,0,1,22.119400024414062,0.11332425,0.8866758,https://www.kwikmed.in/login.html
7,26,unhelpful,c4-2277-115933,0,1,21.808300018310547,0.10714244,0.8928575,https://www.kwikmed.in/weight-control.html
8,26,unhelpful,c4-2530-092054,0,1,21.80829811096191,0.14776771,0.85223234,https://www.kwikmed.in/man-health.html
9,26,unhelpful,c4-4083-138793,0,1,21.758100509643555,0.13123226,0.8687678,http://painmuse.org/?cat=25
10,26,unhelpful,c4-6153-063329,0,1,21.718599319458008,0.3237314,0.67626864,https://www.fibromyalgia-information-relief.com/fibromyalgia-treatment-midterm.html
11,26,unhelpful,c4-3106-125186,0,1,21.71179962158203,0.09453038,0.9054696,https://www.kwikmed.in/antidepressant/100-clonazepam-2mg-rivotril-pills-uk-make-effective-treatment-of-anxiety-and-sleeping-disorder-uk-delivery.html
12,26,unhelpful,c4-7093-034551,0,1,21.611000061035156,0.22016907,0.7798309,https://www.healthtap.com/answers_by_category/chronic-pain/pain-lyrica-pregabalin
13,26,unhelpful,c4-1876-099507,0,0,21.573999404907227,0.9099105,0.09008943,http://painmuse.org/?cat=15
14,26,unhelpful,c4-5979-050868,0,1,21.492300033569336,0.3935367,0.60646325,https://www.kwikmed.in/sleeping-disorder/60-zolpidem-sanval-10mg-stilnoct-sleeping-pills-stilnox-eu-shipped-from-the-uk.html
15,26,unhelpful,c4-2584-146654,0,1,21.47610092163086,0.40953645,0.5904635,https://www.kwikmed.in/antidepressant.html
16,26,unhelpful,c4-1634-123845,0,1,21.44129943847656,0.20986721,0.7901328,https://www.kwikmed.in/pain-treatment/lioresal-10mg.html
17,26,unhelpful,c4-1599-020595,0,1,21.409099578857425,0.17266731,0.8273327,https://www.kwikmed.in/
18,26,unhelpful,c4-0559-089856,0,1,21.336000442504883,0.33514383,0.6648562,https://www.kwikmed.in/sleeping-disorder.html
19,26,unhelpful,c4-1023-066833,0,1,21.32740020751953,0.18095593,0.81904405,https://www.kwikmed.in/panic-disorder/56-pills-300mg-pregabalin-dr-reddys-lyrica-treat-epilepsy-neuropathic-pain-fibromyalgia-uk-and-eu-free-delivery.html
20,26,unhelpful,c4-5425-095318,0,0,21.302900314331055,0.6259507,0.3740493,http://laness.us/neurontin/what-is-neurontin-dependence-disorders.php
21,26,unhelpful,c4-2992-094137,0,1,21.26210021972656,0.18686931,0.8131307,http://painmuse.org/?cat=29
22,26,unhelpful,c4-5794-097238,0,1,21.258800506591797,0.17210129,0.82789874,https://www.kwikmed.in/index.php
23,26,unhelpful,c4-3706-091114,0,1,21.10580062866211,0.1928446,0.80715543,https://www.kwikmed.in/register.html
24,26,unhelpful,c4-6815-029780,0,1,21.105798721313477,0.095992796,0.9040072,https://www.kwikmed.in/diazepam-dosage.html
25,26,unhelpful,c4-2547-052354,0,1,21.098400115966797,0.27523938,0.7247606,https://www.kwikmed.in/pain-treatment.html
26,26,unhelpful,c4-0972-029022,0,1,21.0575008392334,0.11349345,0.88650656,https://www.kwikmed.in/anxiety.html?page=2
27,26,unhelpful,c4-3659-118247,0,1,20.968799591064453,0.2305477,0.7694523,https://www.kwikmed.in/pain-treatment/codeine-fosfat-15mg.html
28,26,unhelpful,c4-6027-012851,0,1,20.96879768371582,0.2305477,0.7694523,https://www.kwikmed.in/pain-treatment/tramadol-50mg-eu.html
